ggplot2,dataframe,plot,shiny,dplyr,data.table,matrix,loops,regex,function,for-loop,rstudio,list,time-series,statistics,knitr,csv,subset,r-markdown,python,date,string,vector,regression,apply,plyr,merge,lapply,if-statement,igraph,xts,machine-learning,rcpp,plotly,aggregate,graph,shinyapps,excel,reshape,parallel-processing,web-scraping,bar-chart,package,na,performance,xml,histogram,html,latex,legend,datetime,raster,tidyr,linear-regression,optimization,r-caret,boxplot,lattice,json,split,java,tidyverse,lm,leaflet,zoo,arrays,sorting,heatmap,c++,text-mining,sql,rvest,cluster-analysis,gsub,colors,correlation,tm,time,javascript,glm,reshape2,quantmod,graphics,random-forest,forecasting,shiny-server,data-visualization,linux,data-manipulation,replace,pdf,variables,text,shinydashboard,sapply,lubridate,mean,order,twitter,spatial,mysql,lme4,macos,vectorization,match,indexing,ggmap,random,matlab,grep,import,missing-data,stringr,gis,windows,algorithm,logistic-regression,markdown,predict,rcurl,sum,dataset,rodbc,scatter-plot,posixct,rpy2,count,classification,duplicates,packages,anova,apache-spark,character,bioinformatics,foreach,prediction,grouping,maps,devtools,purrr,css,visualization,geospatial,ggvis,ubuntu,sweave,pca,row,conditional,r-raster,filter,dt,rcharts,bioconductor,database,svm,cran,sql-server,s4,httr,facet,error-handling,mixed-models,r-package,bigdata,rbind,combinations,survival-analysis,read.table,sqldf,simulation,parsing,distribution,sparkr,memory,rjava,3d,c,multiple-columns,unique,join,encoding,roxygen2,frequency,pandoc,sparse-matrix,distance,h2o,label,rows,extract,axis-labels,neural-network,k-means,group-by,pandas,file,image,stata,categorical-data
ggplot2,0,2370,88,2075,2362,2542,2567,2501,2597,2465,2519,2492,2561,2343,2475,2498,2548,2549,2529,2550,2499,2580,2590,2511,2590,2538,2588,2573,2590,2576,2586,2592,2600,2224,2584,2276,2559,2581,2559,2595,2600,2023,2584,2573,2592,2598,2206,2594,2572,1968,2538,2548,2558,2553,2599,2595,2143,2488,2596,2594,2596,2527,2566,2592,2583,2597,2563,2352,2599,2599,2596,2600,2575,2600,2273,2563,2597,2559,2591,2581,2537,2591,2383,2598,2588,2585,2325,2588,2596,2600,2501,2592,2559,2587,2597,2565,2564,2497,2596,2553,2598,2577,2585,2599,2597,2597,2268,2599,2594,2598,2598,2587,2597,2521,2590,2598,2580,2591,2591,2599,2595,2597,2600,2414,2578,2578,2591,2596,2599,2589,2595,2600,2593,2586,2595,2591,2574,2463,2594,2582,2598,2437,2544,2557,2597,2581,2550,2600,2593,2582,2596,2596,2588,2588,2598,2598,2594,2597,2598,2600,2186,2593,2586,2594,2592,2598,2600,2576,2600,2598,2597,2591,2577,2599,2596,2600,2583,2600,2591,2600,2600,2598,2598,2584,2597,2599,2600,2600,2456,2598,2598,2443,2600,2591,2588,2595,2598,2577,2595,2579
dataframe,2370,0,2447,2490,1866,2129,2206,2198,2478,2303,2249,2567,1785,2469,2529,2592,2365,1957,2596,2501,2426,2399,2354,2561,2278,2341,2063,2383,2420,2575,2543,2586,2590,2593,2394,2573,2585,2537,2341,2590,2579,2572,2596,2405,2503,2528,2574,2589,2595,2597,2540,2588,2484,2578,2578,2596,2573,2597,2508,2386,2597,2530,2575,2595,2562,2546,2432,2588,2596,2581,2571,2579,2592,2559,2587,2567,2584,2564,2598,2590,2497,2587,2594,2596,2591,2596,2595,2597,2499,2455,2594,2523,2563,2593,2530,2578,2498,2497,2588,2588,2588,2597,2600,2554,2473,2511,2595,2561,2595,2553,2569,2530,2585,2597,2600,2582,2597,2599,2587,2596,2519,2561,2588,2591,2567,2579,2539,2594,2486,2599,2594,2594,2555,2564,2588,2594,2530,2600,2600,2579,2600,2593,2594,2599,2600,2598,2593,2469,2543,2593,2506,2591,2600,2591,2565,2596,2598,2593,2593,2600,2599,2582,2600,2599,2574,2466,2559,2595,2570,2572,2597,2584,2595,2590,2587,2600,2597,2599,2486,2528,2543,2594,2600,2574,2599,2589,2587,2593,2598,2499,2547,2600,2599,2598,2569,2540,2591,2594,2595,2584
plot,88,2447,0,2420,2577,2585,2509,2519,2599,2489,2526,2506,2567,2388,2469,2543,2550,2559,2557,2547,2547,2587,2573,2486,2593,2591,2594,2585,2582,2502,2542,2584,2599,2464,2593,2294,2586,2581,2587,2594,2600,2385,2593,2584,2595,2599,2418,2593,2569,2311,2574,2508,2600,2532,2592,2592,2506,2365,2599,2592,2589,2595,2558,2598,2563,2590,2587,2518,2600,2598,2595,2600,2559,2600,2408,2574,2597,2570,2591,2567,2590,2579,2395,2593,2583,2594,2500,2590,2600,2599,2505,2591,2550,2595,2595,2596,2585,2580,2595,2570,2595,2580,2592,2599,2598,2597,2571,2593,2572,2597,2596,2587,2600,2575,2596,2597,2576,2590,2590,2599,2598,2586,2599,2488,2588,2591,2597,2591,2599,2599,2589,2600,2595,2583,2597,2587,2587,2551,2598,2600,2600,2491,2569,2561,2594,2588,2555,2596,2594,2577,2599,2598,2583,2589,2596,2579,2597,2599,2597,2600,2551,2593,2584,2598,2596,2600,2600,2563,2598,2600,2594,2597,2563,2599,2598,2598,2428,2599,2592,2599,2600,2596,2600,2587,2600,2599,2595,2599,2513,2599,2597,2481,2595,2584,2598,2597,2597,2546,2598,2579
shiny,2075,2490,2420,0,2500,2558,2594,2583,2592,2568,2581,2273,2579,2595,2590,2541,2506,2563,2371,2583,2567,2592,2593,2593,2599,2592,2597,2582,2583,2588,2593,2596,2595,2321,2596,2570,1467,2570,2596,2592,2598,2586,2596,2599,2599,2595,2592,2338,2586,2591,2594,2595,2598,2595,2597,2596,2593,2598,2588,2597,2593,2597,2599,2200,2600,2598,2587,2579,2597,2598,2577,2595,2599,2599,2587,2596,2597,2595,2211,2598,2596,2587,2595,2591,2591,1952,2581,2584,2598,2600,2568,2591,2589,2013,2600,2596,2598,2598,2582,2594,2560,2600,2590,2600,2599,2600,2587,2598,2598,2596,2596,2600,2599,2590,2587,2599,2599,2569,2599,2598,2600,2597,2582,2592,2599,2600,2600,2600,2600,2591,2597,2599,2599,2597,2600,2598,2600,2584,2597,2600,2330,2589,2596,2426,2580,2599,2598,2600,2578,2596,2579,2257,2461,2595,2585,2598,2597,2590,2600,2594,2597,2594,2599,2595,2597,2600,2600,2599,2599,2596,2599,2597,2600,2600,2596,2599,2594,2598,2600,2597,2600,2591,2598,2599,2593,2599,2600,2600,2594,2599,2600,2597,2600,2597,2596,2599,2586,2576,2600,2598
dplyr,2362,1866,2577,2500,0,2073,2566,2529,2529,2476,2531,2570,2551,2542,2576,2583,2578,2505,2583,2578,2523,2561,2582,2584,2527,2302,2511,2549,2517,2590,2586,2597,2589,2596,2504,2598,2590,2593,2530,2587,2595,2594,2594,2549,2565,2597,2596,2598,2598,2600,2559,2599,2103,2597,2597,2597,2597,2600,2582,2582,2599,2225,2582,2598,2544,2597,2567,2595,2599,2593,2553,2592,2596,2589,2600,2594,2598,2584,2599,2598,2495,2598,2600,2600,2590,2597,2600,2599,2519,2585,2599,2592,2594,2598,2579,2490,2575,2583,2598,2597,2575,2597,2600,2590,2585,2592,2595,2593,2599,2585,2600,2583,2524,2597,2599,2597,2600,2598,2598,2598,2579,2594,2597,2600,2586,2599,2561,2599,2575,2596,2598,2566,2594,2596,2595,2599,2549,2598,2598,2415,2600,2600,2594,2581,2598,2600,2599,2591,2562,2600,2477,2595,2598,2599,2575,2600,2597,2590,2596,2600,2596,2593,2599,2596,2596,2587,2590,2596,2600,2578,2596,2598,2600,2590,2599,2600,2600,2600,2586,2587,2534,2598,2597,2584,2599,2596,2597,2599,2597,2589,2596,2600,2599,2597,2450,2581,2600,2600,2595,2594
data.table,2542,2129,2585,2558,2073,0,2561,2544,2553,2527,2537,2589,2540,2538,2588,2582,2528,2442,2593,2582,2530,2562,2584,2593,2537,2437,2457,2511,2563,2596,2571,2596,2579,2594,2471,2596,2598,2595,2538,2575,2600,2598,2590,2552,2484,2595,2599,2600,2600,2600,2571,2599,2565,2597,2575,2597,2600,2600,2593,2571,2600,2588,2591,2600,2545,2594,2584,2600,2597,2598,2573,2598,2597,2593,2598,2592,2598,2581,2598,2595,2538,2597,2600,2600,2597,2599,2599,2597,2556,2580,2600,2593,2594,2598,2586,2564,2582,2574,2599,2599,2596,2600,2599,2568,2578,2571,2600,2592,2600,2588,2588,2589,2585,2599,2595,2596,2600,2600,2597,2599,2567,2599,2599,2599,2573,2600,2569,2598,2572,2598,2600,2599,2593,2591,2588,2600,2545,2600,2591,2592,2600,2599,2597,2595,2599,2599,2600,2582,2573,2598,2583,2591,2599,2594,2589,2600,2598,2597,2596,2600,2599,2599,2600,2593,2583,2583,2591,2599,2586,2577,2600,2596,2600,2599,2572,2599,2599,2600,2578,2574,2479,2590,2597,2589,2600,2591,2598,2595,2598,2592,2599,2600,2600,2599,2566,2585,2596,2600,2596,2597
matrix,2567,2206,2509,2594,2566,2561,0,2378,2594,2492,2423,2594,2336,2571,2556,2600,2543,2501,2597,2568,2595,2574,2343,2573,2446,2592,2557,2559,2562,2565,2585,2584,2557,2597,2583,2572,2600,2584,2556,2581,2600,2590,2596,2556,2518,2600,2593,2600,2594,2599,2598,2570,2592,2585,2574,2594,2589,2592,2595,2579,2597,2599,2582,2600,2592,2432,2548,2563,2573,2580,2599,2600,2582,2600,2589,2488,2570,2595,2600,2597,2582,2599,2596,2598,2598,2600,2590,2600,2587,2565,2596,2585,2593,2600,2568,2600,2574,2560,2599,2589,2598,2597,2599,2545,2578,2524,2600,2572,2552,2600,2594,2595,2600,2597,2600,2557,2599,2598,2598,2600,2560,2588,2600,2588,2599,2595,2590,2597,2591,2597,2598,2598,2585,2586,2591,2597,2592,2599,2600,2600,2599,2594,2597,2599,2600,2600,2591,2555,2593,2593,2587,2600,2600,2595,2596,2598,2599,2599,2592,2600,2600,2593,2597,2600,2575,2581,2561,2599,2596,2600,2587,2598,2598,2599,2580,2600,2589,2590,2586,2592,2596,2599,2600,2582,2599,2470,2519,2600,2598,2573,2582,2600,2597,2595,2598,2598,2589,2579,2593,2597
loops,2501,2198,2519,2583,2529,2544,2378,0,2587,2352,2113,2589,2469,2568,2559,2591,2547,2506,2593,2595,2568,2557,2506,2538,2423,2564,2571,2472,2445,2588,2583,2597,2594,2598,2592,2589,2600,2585,2593,2587,2582,2595,2600,2581,2493,2591,2590,2596,2597,2597,2594,2581,2598,2569,2564,2598,2584,2599,2588,2585,2600,2599,2580,2597,2588,2554,2587,2600,2599,2596,2596,2593,2599,2594,2598,2576,2597,2585,2598,2584,2599,2586,2596,2597,2594,2600,2599,2599,2592,2585,2584,2544,2593,2600,2567,2597,2591,2593,2593,2591,2597,2599,2600,2530,2577,2575,2597,2577,2598,2585,2590,2593,2595,2594,2599,2589,2596,2598,2597,2597,2577,2588,2598,2596,2599,2600,2585,2598,2597,2600,2588,2600,2585,2596,2572,2597,2596,2598,2600,2598,2600,2600,2597,2599,2600,2599,2600,2586,2581,2596,2596,2598,2600,2598,2592,2600,2600,2597,2599,2599,2600,2583,2598,2599,2592,2578,2588,2597,2596,2594,2583,2590,2600,2600,2598,2600,2598,2599,2588,2592,2596,2600,2600,2596,2600,2600,2590,2599,2598,2593,2598,2600,2599,2598,2597,2600,2588,2598,2590,2596
regex,2597,2478,2599,2592,2529,2553,2594,2587,0,2593,2591,2595,2577,2600,2598,2594,2570,2573,2596,2567,2576,2158,2570,2600,2590,2593,2591,2586,2589,2600,2599,2599,2598,2600,2596,2600,2598,2593,2596,2600,2585,2600,2598,2599,2593,2586,2600,2580,2589,2600,2592,2600,2563,2600,2595,2600,2600,2600,2585,2530,2597,2584,2600,2600,2599,2595,2591,2600,2599,2553,2592,2597,2599,2204,2600,2599,2579,2595,2595,2600,2598,2600,2600,2600,2600,2598,2600,2596,2595,2549,2598,2594,2550,2600,2590,2594,2600,2597,2581,2600,2596,2599,2598,2596,2577,2594,2599,2599,2597,2407,2594,2600,2365,2599,2600,2599,2600,2599,2600,2597,2599,2598,2600,2600,2599,2599,2596,2600,2597,2599,2600,2600,2569,2585,2597,2600,2598,2599,2600,2599,2600,2600,2600,2600,2600,2599,2600,2596,2600,2600,2595,2600,2600,2599,2597,2600,2599,2599,2600,2600,2600,2599,2599,2600,2598,2598,2598,2600,2595,2596,2600,2571,2600,2600,2600,2599,2600,2600,2596,2600,2598,2593,2599,2598,2600,2599,2599,2597,2600,2600,2574,2600,2599,2600,2600,2597,2596,2600,2599,2600
function,2465,2303,2489,2568,2476,2527,2492,2352,2593,0,2423,2584,2492,2587,2543,2596,2567,2531,2597,2589,2583,2552,2509,2566,2455,2555,2587,2494,2497,2595,2588,2595,2592,2596,2577,2591,2598,2595,2598,2590,2593,2599,2558,2572,2577,2594,2592,2599,2599,2596,2590,2590,2597,2590,2563,2596,2596,2598,2599,2591,2599,2593,2581,2597,2595,2583,2592,2599,2594,2598,2594,2598,2598,2596,2596,2588,2598,2589,2600,2594,2594,2594,2598,2598,2598,2597,2600,2599,2589,2589,2596,2553,2591,2600,2551,2600,2586,2596,2600,2597,2596,2596,2599,2571,2592,2592,2598,2588,2593,2594,2594,2587,2596,2600,2598,2591,2599,2598,2597,2600,2580,2594,2600,2596,2597,2598,2596,2597,2596,2586,2597,2600,2577,2597,2595,2597,2592,2599,2597,2597,2600,2600,2600,2600,2600,2599,2600,2595,2589,2597,2593,2600,2600,2598,2594,2600,2599,2599,2597,2600,2598,2584,2600,2595,2597,2588,2593,2598,2597,2597,2591,2592,2588,2598,2596,2600,2599,2598,2592,2594,2599,2600,2600,2598,2600,2599,2595,2600,2597,2597,2589,2596,2599,2599,2593,2598,2594,2598,2597,2597
