clusters, tags
graphics,  ggplot2,plot,igraph,bar-chart,histogram,legend,boxplot,lattice,colors,graphics,data-visualization,scatter-plot,visualization,3d,label,image,graph
packages,  shiny,rstudio
syntax,  loops,function,for-loop,subset,apply,plyr,merge,lapply,if-statement,xts,aggregate,na,split,zoo,sorting,variables,indexing,sum,dataset,count,duplicates,grouping,conditional,unique,group-by
text-processing,  regex,string,text-mining,gsub,tm,stringr,text
statistics,  time-series,statistics
documentation,  knitr,r-markdown,html,latex,javascript,pdf
csv-core,  csv,python
algorithms,  regression,machine-learning,linear-regression,r-caret,lm,glm,random-forest,lme4,missing-data,logistic-regression,predict,classification,prediction,svm,neural-network
tools,  rcpp,c++,correlation,random,matlab,bioinformatics,bigdata,simulation,memory,c,sparse-matrix,distance
libraries,  plotly,shinyapps,leaflet,heatmap,rvest,quantmod,forecasting,shiny-server,shinydashboard,lubridate,ggmap,markdown,rcurl,posixct,rpy2,packages,anova,maps,devtools,css,ggvis,sweave,pca,r-raster,dt,rcharts,bioconductor,cran,s4,httr,facet,error-handling,mixed-models,r-package,rbind,survival-analysis,read.table,sqldf,distribution,sparkr,rjava,roxygen2,pandoc,h2o,axis-labels,k-means,pandas,stata,categorical-data
data-storage,  excel,sql,import,database,file,web-scraping,xml,json,twitter,mysql,rodbc,sql-server,parsing,encoding
data-science,  reshape,tidyr,tidyverse,reshape2,data-manipulation,apache-spark,purrr
performance,  parallel-processing,performance,optimization,arrays,algorithm 
platforms,  package,java,linux,macos,windows,ubuntu
spatial,  raster,cluster-analysis,spatial,gis,geospatial
