ggplot2,dataframe,plot,shiny,dplyr,data.table,matrix,loops,regex,function,for-loop,rstudio,list,time-series,statistics,knitr,csv,subset,r-markdown,python,date,string,vector,regression,apply,plyr,merge,lapply,if-statement,igraph,xts,machine-learning,rcpp,plotly,aggregate,graph,shinyapps,excel,reshape,parallel-processing,web-scraping,bar-chart,package,na,performance,xml,histogram,html,latex,legend,datetime,raster,tidyr,linear-regression,optimization,r-caret,boxplot,lattice,json,split,java,tidyverse,lm,leaflet,zoo,arrays,sorting,heatmap,c++,text-mining,sql,rvest,cluster-analysis,gsub,colors,correlation,tm,time,javascript,glm,reshape2,quantmod,graphics,random-forest,forecasting,shiny-server,data-visualization,linux,data-manipulation,replace,pdf,variables,text,shinydashboard,sapply,lubridate,mean,order,twitter,spatial,mysql,lme4,macos,vectorization,match,indexing,ggmap,random,matlab,grep,import,missing-data,stringr,gis,windows,algorithm,logistic-regression,markdown,predict,rcurl,sum,dataset,rodbc,scatter-plot,posixct,rpy2,count,classification,duplicates,packages,anova,apache-spark,character,bioinformatics,foreach,prediction,grouping,maps,devtools,purrr,css,visualization,geospatial,ggvis,ubuntu,sweave,pca,row,conditional,r-raster,filter,dt,rcharts,bioconductor,database,svm,cran,sql-server,s4,httr,facet,error-handling,mixed-models,r-package,bigdata,rbind,combinations,survival-analysis,read.table,sqldf,simulation,parsing,distribution,sparkr,memory,rjava,3d,c,multiple-columns,unique,join,encoding,roxygen2,frequency,pandoc,sparse-matrix,distance,h2o,label,rows,extract,axis-labels,neural-network,k-means,group-by,pandas,file,image,stata,categorical-data
ggplot2,0,0.008,0.0007552870090634441,0.00398406374501992,0.009259259259259259,0.043478260869565216,0.05555555555555555,0.022727272727272728,0.5,0.017543859649122806,0.037037037037037035,0.018867924528301886,0.045454545454545456,0.009345794392523364,0.015625,0.01818181818181818,0.04,0.047619047619047616,0.04,0.02631578947368421,0.01694915254237288,0.07142857142857142,0.125,0.0196078431372549,0.25,0.045454545454545456,0.1,0.1,0.2,0.14285714285714285,0.25,0.14285714285714285,1,0.00847457627118644,0.2,0.006172839506172839,0.14285714285714285,0.1,0.05555555555555555,0.3333333333333333,1,0.005208333333333333,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.007692307692307693,0.2,0.045454545454545456,0.0055248618784530384,0.029411764705882353,0.043478260869565216,0.06666666666666667,0.058823529411764705,0.5,1,0.008620689655172414,0.038461538461538464,0.5,0.25,0.2,0.06666666666666667,0.125,0.16666666666666666,0.16666666666666666,0.5,0.038461538461538464,0.014492753623188406,0.5,0.5,0.5,1,0.0625,1,0.0053475935828877,0.0625,0.3333333333333333,0.038461538461538464,0.1,0.16666666666666666,0.09090909090909091,0.5,0.009259259259259259,1,0.5,0.16666666666666666,0.008849557522123894,0.09090909090909091,1,1,0.022222222222222223,0.25,0.03333333333333333,0.5,1,0.3333333333333333,0.047619047619047616,0.016666666666666666,0.5,0.047619047619047616,0.5,0.08333333333333333,0.09090909090909091,0.5,0.3333333333333333,0.3333333333333333,0.017543859649122806,1,0.25,0.5,0.3333333333333333,0.25,1,0.01639344262295082,0.16666666666666666,0.5,0.14285714285714285,0.125,0.16666666666666666,1,0.25,0.5,1,0.016129032258064516,0.5,0.25,0.125,0.3333333333333333,0.5,0.14285714285714285,0.3333333333333333,1,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.2,0.0625,0.012658227848101266,0.3333333333333333,0.25,0.5,0.0136986301369863,0.029411764705882353,0.25,1,0.16666666666666666,0.03225806451612903,1,0.25,0.25,0.25,1,0.16666666666666666,0.2,0.3333333333333333,0.5,0.5,1,0.5,1,0.008928571428571428,0.25,0.14285714285714285,0.5,0.2,1,1,0.14285714285714285,1,1,0.3333333333333333,0.14285714285714285,0.1111111111111111,1,0.25,1,0.08333333333333333,1,0.16666666666666666,1,1,1,0.5,0.2,0.3333333333333333,0.5,1,1,0.011494252873563218,0.3333333333333333,0.3333333333333333,0.03333333333333333,1,1,0.125,0.2,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.1
dataframe,0.008,0,0.01282051282051282,0.016666666666666666,0.00303951367781155,0.005434782608695652,0.005291005291005291,0.005050505050505051,0.014925373134328358,0.006711409395973154,0.006060606060606061,0.0625,0.002570694087403599,0.015873015873015872,0.023809523809523808,0.25,0.009433962264150943,0.006493506493506494,0.3333333333333333,0.017857142857142856,0.010309278350515464,0.008620689655172414,0.008928571428571428,0.05263157894736842,0.010638297872340425,0.010416666666666666,0.0045045045045045045,0.01818181818181818,0.011627906976744186,0.125,0.045454545454545456,0.09090909090909091,0.3333333333333333,0.5,0.014285714285714285,0.05555555555555555,0.16666666666666666,0.02564102564102564,0.0125,0.16666666666666666,0.07142857142857142,0.1,0.3333333333333333,0.029411764705882353,0.017543859649122806,0.047619047619047616,0.1111111111111111,0.125,0.16666666666666666,0.5,0.02857142857142857,0.16666666666666666,0.05,0.1111111111111111,0.0625,1,0.1111111111111111,1,0.02127659574468085,0.012195121951219513,0.5,0.058823529411764705,0.08333333333333333,0.2,0.07142857142857142,0.047619047619047616,0.013888888888888888,0.2,0.25,0.1,0.07142857142857142,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.14285714285714285,0.1,0.16666666666666666,0.04,0.5,0.2,0.027777777777777776,1,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.041666666666666664,0.013333333333333334,0.16666666666666666,0.038461538461538464,0.05555555555555555,0.5,0.08333333333333333,0.2,0.03333333333333333,0.03333333333333333,0.14285714285714285,0.25,0.14285714285714285,0.5,1,0.07692307692307693,0.02564102564102564,0.025,1,0.047619047619047616,0.3333333333333333,0.05263157894736842,0.06666666666666667,0.058823529411764705,0.25,0.25,1,0.09090909090909091,0.5,1,0.25,0.5,0.020833333333333332,0.058823529411764705,0.25,0.3333333333333333,0.2,0.25,0.02631578947368421,0.2,0.021739130434782608,0.5,1,0.14285714285714285,0.05,0.09090909090909091,0.14285714285714285,0.25,0.030303030303030304,1,1,0.25,1,0.5,0.3333333333333333,1,1,0.5,0.25,0.01818181818181818,0.037037037037037035,0.5,0.019230769230769232,0.25,1,0.25,0.047619047619047616,0.5,1,0.16666666666666666,1,1,0.5,0.1111111111111111,1,1,0.125,0.038461538461538464,0.07692307692307693,0.5,0.125,0.3333333333333333,1,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.14285714285714285,1,0.3333333333333333,1,0.03333333333333333,0.04,0.03125,0.3333333333333333,1,0.1,1,0.3333333333333333,0.125,0.5,0.3333333333333333,0.02857142857142857,0.05263157894736842,1,0.5,1,0.038461538461538464,0.037037037037037035,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5
plot,0.0007552870090634441,0.01282051282051282,0,0.011235955056179775,0.08333333333333333,0.2,0.017241379310344827,0.02,1,0.014705882352941176,0.02857142857142857,0.024390243902439025,0.05555555555555555,0.01,0.013333333333333334,0.02857142857142857,0.03225806451612903,0.058823529411764705,0.07142857142857142,0.02631578947368421,0.02631578947368421,0.125,0.05,0.014285714285714285,0.25,1,0.2,0.5,0.09090909090909091,0.038461538461538464,0.045454545454545456,0.09090909090909091,0.5,0.034482758620689655,0.25,0.004830917874396135,0.2,0.09090909090909091,0.16666666666666666,0.3333333333333333,1,0.01639344262295082,0.2,0.125,0.25,0.5,0.014492753623188406,0.14285714285714285,0.041666666666666664,0.011363636363636364,0.05263157894736842,0.02631578947368421,1,0.03571428571428571,0.14285714285714285,0.2,0.047619047619047616,0.015625,1,0.2,0.09090909090909091,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.14285714285714285,0.08333333333333333,0.047619047619047616,1,1,0.3333333333333333,1,0.04,1,0.0078125,0.1,1,0.05263157894736842,0.125,0.09090909090909091,0.25,0.25,0.0072992700729927005,0.3333333333333333,0.25,0.5,0.021739130434782608,0.14285714285714285,1,0.5,0.01639344262295082,0.1111111111111111,0.03125,0.5,0.5,0.5,0.09090909090909091,0.09090909090909091,0.25,0.06666666666666667,0.25,0.1,0.14285714285714285,1,1,0.25,0.25,0.25,0.06666666666666667,0.3333333333333333,0.25,0.3333333333333333,1,0.06666666666666667,0.3333333333333333,0.5,0.07692307692307693,0.125,0.125,1,1,0.125,1,0.03125,1,1,0.3333333333333333,0.125,1,0.5,0.16666666666666666,1,0.25,0.1111111111111111,0.25,0.1111111111111111,0.16666666666666666,0.03333333333333333,0.5,1,1,0.018867924528301886,0.05,0.3333333333333333,0.2,0.25,0.0625,0.5,0.3333333333333333,0.3333333333333333,0.5,1,0.2,0.3333333333333333,0.2,0.125,1,1,1,1,0.1111111111111111,0.25,0.14285714285714285,1,1,1,1,0.1,1,1,0.5,0.25,0.05263157894736842,0.5,0.3333333333333333,0.3333333333333333,0.009615384615384616,1,0.5,0.5,1,0.5,1,0.16666666666666666,1,0.5,0.5,1,0.023809523809523808,1,0.3333333333333333,0.041666666666666664,0.5,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.030303030303030304,1,0.2
shiny,0.00398406374501992,0.016666666666666666,0.011235955056179775,0,0.02631578947368421,0.047619047619047616,0.3333333333333333,0.07142857142857142,0.2,0.06666666666666667,0.07692307692307693,0.005319148936170213,0.1,0.2,0.2,0.022222222222222223,0.022222222222222223,0.0625,0.010752688172043012,0.1111111111111111,0.07692307692307693,0.14285714285714285,0.25,0.25,1,1,0.25,0.125,0.1,0.2,0.16666666666666666,0.2,0.25,0.010101010101010102,0.5,0.05555555555555555,0.002631578947368421,0.09090909090909091,0.3333333333333333,0.2,0.3333333333333333,0.14285714285714285,0.3333333333333333,1,1,0.3333333333333333,1,0.008064516129032258,0.1111111111111111,0.14285714285714285,0.2,0.3333333333333333,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.5,0.2,0.25,0.2,1,1,0.005649717514124294,1,0.5,0.14285714285714285,0.08333333333333333,0.5,1,0.08333333333333333,1,1,1,0.14285714285714285,1,0.5,0.25,0.004878048780487805,1,1,0.2,0.25,0.2,0.2,0.005555555555555556,0.1,0.1111111111111111,0.5,1,0.047619047619047616,0.2,0.125,0.00847457627118644,1,0.3333333333333333,1,0.5,0.07692307692307693,0.25,0.05555555555555555,1,0.125,1,1,1,0.3333333333333333,1,0.3333333333333333,0.5,0.3333333333333333,1,1,0.2,0.16666666666666666,1,1,0.058823529411764705,1,0.5,1,0.5,0.14285714285714285,0.16666666666666666,1,1,1,1,1,0.25,1,1,1,0.5,1,1,1,0.058823529411764705,0.5,1,0.007692307692307693,0.125,0.5,0.05555555555555555,0.058823529411764705,1,0.3333333333333333,1,0.125,0.5,0.07692307692307693,0.041666666666666664,0.02702702702702703,1,0.14285714285714285,1,0.3333333333333333,0.2,1,1,0.5,1,1,0.5,1,1,1,1,0.5,0.5,0.5,0.5,1,1,0.2,0.5,0.14285714285714285,0.5,1,0.5,1,0.16666666666666666,0.5,1,0.25,1,1,1,0.2,1,1,0.5,1,0.25,0.2,1,0.14285714285714285,0.07692307692307693,1,1
dplyr,0.009259259259259259,0.00303951367781155,0.08333333333333333,0.02631578947368421,0,0.004761904761904762,0.05,0.037037037037037035,0.030303030303030304,0.0196078431372549,0.03571428571428571,0.07692307692307693,0.03125,0.038461538461538464,0.125,0.09090909090909091,0.125,0.038461538461538464,0.2,0.16666666666666666,0.022222222222222223,0.045454545454545456,0.16666666666666666,0.1,0.037037037037037035,0.011494252873563218,0.038461538461538464,0.041666666666666664,0.025,0.14285714285714285,0.125,0.3333333333333333,0.16666666666666666,0.5,0.02564102564102564,0.5,0.16666666666666666,0.25,0.023255813953488372,0.125,0.16666666666666666,0.2,0.25,0.07692307692307693,0.05,0.5,0.3333333333333333,0.5,0.3333333333333333,1,0.041666666666666664,0.5,0.006896551724137931,1,1,0.3333333333333333,0.3333333333333333,1,0.1111111111111111,0.1111111111111111,0.5,0.008849557522123894,0.16666666666666666,1,0.07142857142857142,0.5,0.058823529411764705,0.5,1,0.2,0.05263157894736842,0.5,0.5,0.25,1,1,0.3333333333333333,0.09090909090909091,0.5,0.5,0.027777777777777776,1,1,1,1,0.5,1,1,0.037037037037037035,0.25,1,0.25,0.2,1,0.2,0.05,0.08333333333333333,0.1,0.5,1,0.1111111111111111,0.5,1,0.2,0.16666666666666666,0.3333333333333333,0.5,0.25,0.5,0.16666666666666666,1,0.3333333333333333,0.047619047619047616,0.3333333333333333,0.5,1,1,0.5,0.5,0.5,0.09090909090909091,0.25,1,1,0.2,1,0.05555555555555555,1,0.125,0.5,0.3333333333333333,0.030303030303030304,0.3333333333333333,0.25,0.5,0.5,0.043478260869565216,0.3333333333333333,0.5,0.023809523809523808,1,1,0.2,0.3333333333333333,1,1,0.5,0.16666666666666666,0.05555555555555555,1,0.0196078431372549,0.5,0.5,0.5,0.1,1,0.5,0.1111111111111111,0.5,1,0.5,0.2,1,0.25,1,0.3333333333333333,0.2,1,1,0.25,0.5,0.3333333333333333,1,0.1,1,1,1,1,0.14285714285714285,0.16666666666666666,0.038461538461538464,0.5,0.5,0.14285714285714285,0.5,0.2,1,1,0.3333333333333333,0.2,0.5,1,1,0.5,0.014492753623188406,0.3333333333333333,1,1,0.5,1
data.table,0.043478260869565216,0.005434782608695652,0.2,0.047619047619047616,0.004761904761904762,0,0.05,0.05,0.05263157894736842,0.03225806451612903,0.034482758620689655,0.25,0.045454545454545456,0.034482758620689655,0.16666666666666666,0.125,0.030303030303030304,0.02702702702702703,0.2,0.2,0.027777777777777776,0.05555555555555555,0.2,0.3333333333333333,0.043478260869565216,0.018518518518518517,0.024390243902439025,0.05263157894736842,0.05263157894736842,1,0.16666666666666666,0.3333333333333333,0.125,0.5,0.02,1,0.5,0.2,0.037037037037037035,0.07692307692307693,1,1,0.2,0.14285714285714285,0.023255813953488372,0.3333333333333333,1,1,1,1,0.07142857142857142,1,0.25,0.5,0.1,1,1,1,0.3333333333333333,0.14285714285714285,1,0.25,0.5,1,0.08333333333333333,0.5,0.2,1,0.25,0.3333333333333333,0.1,0.5,1,0.3333333333333333,1,1,1,0.09090909090909091,0.5,0.5,0.07692307692307693,1,1,1,0.3333333333333333,1,1,1,0.08333333333333333,0.07142857142857142,1,0.2,0.3333333333333333,1,0.5,1,0.25,0.16666666666666666,1,0.5,1,1,1,0.14285714285714285,0.14285714285714285,0.1,1,0.25,1,0.14285714285714285,0.16666666666666666,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,1,1,1,0.5,0.058823529411764705,1,1,1,0.25,1,0.09090909090909091,0.5,0.1111111111111111,1,1,0.5,0.3333333333333333,0.25,0.16666666666666666,1,0.043478260869565216,1,0.3333333333333333,1,1,0.5,0.3333333333333333,0.5,0.5,0.5,1,0.1111111111111111,0.0625,1,0.125,0.5,1,0.3333333333333333,0.16666666666666666,1,0.5,1,1,1,1,1,1,0.3333333333333333,0.25,0.125,0.2,1,0.25,0.25,1,0.5,1,1,0.08333333333333333,1,0.5,1,0.125,0.16666666666666666,0.02702702702702703,0.25,1,0.3333333333333333,1,0.25,0.5,0.5,0.5,0.2,1,1,1,1,0.07692307692307693,0.3333333333333333,0.25,1,0.5,0.5
matrix,0.05555555555555555,0.005291005291005291,0.017241379310344827,0.3333333333333333,0.05,0.05,0,0.007936507936507936,0.16666666666666666,0.015151515151515152,0.01098901098901099,0.2,0.007874015748031496,0.0625,0.03333333333333333,1,0.027777777777777776,0.043478260869565216,0.5,0.047619047619047616,0.25,0.05555555555555555,0.008333333333333333,0.0625,0.022222222222222223,0.25,0.05263157894736842,0.07142857142857142,0.058823529411764705,0.07142857142857142,0.1111111111111111,0.07142857142857142,0.08333333333333333,0.3333333333333333,0.14285714285714285,0.05555555555555555,1,0.1,0.06666666666666667,0.1,1,0.25,0.5,0.14285714285714285,0.017543859649122806,1,0.3333333333333333,1,0.3333333333333333,1,0.5,0.08333333333333333,0.3333333333333333,0.1,0.05555555555555555,0.25,0.5,0.2,0.2,0.06666666666666667,0.25,1,0.2,1,0.3333333333333333,0.01098901098901099,0.041666666666666664,0.07692307692307693,0.041666666666666664,0.058823529411764705,0.5,1,0.07692307692307693,1,0.125,0.022727272727272728,0.07142857142857142,0.3333333333333333,1,0.3333333333333333,0.25,1,0.25,0.5,1,1,0.2,1,1,0.0625,0.3333333333333333,0.1111111111111111,0.16666666666666666,1,0.3333333333333333,1,0.1,0.05263157894736842,0.5,0.2,1,0.3333333333333333,0.5,0.05,0.1111111111111111,0.03571428571428571,1,0.0625,0.03125,1,0.25,0.5,1,0.25,1,0.037037037037037035,0.5,1,0.5,1,0.058823529411764705,0.2,1,0.16666666666666666,1,1,0.1,0.25,0.14285714285714285,0.25,1,0.3333333333333333,0.1,0.14285714285714285,0.16666666666666666,0.25,0.3333333333333333,0.5,1,1,0.5,0.2,0.3333333333333333,1,1,1,0.25,0.047619047619047616,0.25,0.5,0.1111111111111111,1,1,0.5,0.2,0.3333333333333333,1,1,0.5,1,1,0.25,1,1,0.06666666666666667,0.2,0.05263157894736842,1,0.5,1,0.5,0.5,0.5,1,0.058823529411764705,1,0.2,0.25,0.3333333333333333,0.2,0.25,0.5,1,0.16666666666666666,0.5,0.023809523809523808,0.03333333333333333,1,0.5,0.1111111111111111,0.125,1,0.3333333333333333,1,0.3333333333333333,0.3333333333333333,0.25,0.05555555555555555,0.2,1
loops,0.022727272727272728,0.005050505050505051,0.02,0.07142857142857142,0.037037037037037035,0.05,0.007936507936507936,0,0.1111111111111111,0.005917159763313609,0.0032258064516129032,0.25,0.010101010101010102,0.043478260869565216,0.058823529411764705,0.14285714285714285,0.025,0.04,0.25,0.16666666666666666,0.041666666666666664,0.02702702702702703,0.018867924528301886,0.03571428571428571,0.0196078431372549,0.14285714285714285,0.05,0.021739130434782608,0.010526315789473684,0.25,0.14285714285714285,0.25,0.3333333333333333,1,0.14285714285714285,0.2,1,0.08333333333333333,0.2,0.2,0.14285714285714285,1,1,0.3333333333333333,0.013333333333333334,0.1111111111111111,0.2,0.5,0.5,1,0.2,0.16666666666666666,1,0.07692307692307693,0.045454545454545456,0.5,0.25,1,0.1,0.1111111111111111,1,1,0.16666666666666666,0.3333333333333333,0.5,0.025,0.125,1,0.5,0.5,0.3333333333333333,1,0.5,1,0.3333333333333333,0.2,0.5,0.14285714285714285,0.3333333333333333,0.16666666666666666,1,0.2,0.3333333333333333,1,0.3333333333333333,1,0.5,0.5,0.25,0.125,0.07692307692307693,0.022222222222222223,0.16666666666666666,1,0.25,1,0.2,0.2,0.2,0.2,0.25,1,1,0.05263157894736842,0.1,0.08333333333333333,1,0.07142857142857142,0.3333333333333333,0.1111111111111111,0.25,1,0.5,0.2,0.5,0.1,0.5,0.5,0.3333333333333333,0.5,0.16666666666666666,0.2,1,0.5,1,1,0.14285714285714285,0.3333333333333333,0.5,1,0.2,1,0.125,0.5,0.047619047619047616,0.3333333333333333,0.3333333333333333,0.5,1,1,1,1,0.3333333333333333,1,1,1,1,0.1111111111111111,0.14285714285714285,1,0.25,1,1,0.5,0.14285714285714285,1,1,1,1,1,1,0.125,1,0.5,1,0.25,0.14285714285714285,1,1,1,0.1111111111111111,0.1111111111111111,1,1,0.5,1,0.5,1,0.3333333333333333,0.3333333333333333,0.25,1,1,1,1,1,0.2,1,0.3333333333333333,0.25,1,1,0.5,1,0.3333333333333333,1,0.125,0.5,0.3333333333333333,0.5
regex,0.5,0.014925373134328358,1,0.2,0.030303030303030304,0.05263157894736842,0.16666666666666666,0.1111111111111111,0,0.16666666666666666,0.16666666666666666,0.25,0.05263157894736842,1,1,0.2,0.05263157894736842,0.16666666666666666,0.5,0.058823529411764705,0.06666666666666667,0.003676470588235294,0.05,1,0.3333333333333333,0.5,0.14285714285714285,0.125,0.16666666666666666,1,0.5,1,1,1,0.3333333333333333,1,1,0.2,0.5,1,0.125,1,0.3333333333333333,1,0.2,0.1,1,0.058823529411764705,0.125,1,0.16666666666666666,1,0.1111111111111111,1,0.2,1,1,1,0.125,0.034482758620689655,0.5,0.16666666666666666,1,1,1,0.3333333333333333,0.2,1,0.5,0.038461538461538464,0.16666666666666666,1,0.5,0.014925373134328358,1,0.5,0.1111111111111111,0.25,0.25,1,0.5,1,1,1,1,0.5,1,0.2,0.3333333333333333,0.034482758620689655,0.5,1,0.02702702702702703,1,0.2,0.5,1,0.3333333333333333,0.09090909090909091,1,0.25,0.5,0.3333333333333333,0.25,0.1111111111111111,0.3333333333333333,0.5,0.5,1,0.010526315789473684,0.3333333333333333,1,0.034482758620689655,1,1,0.5,1,0.5,1,1,1,0.5,1,1,1,1,1,1,0.3333333333333333,1,1,1,0.05555555555555555,0.16666666666666666,0.25,1,0.5,1,1,0.5,1,1,1,1,1,1,1,1,1,1,0.2,1,1,1,0.25,1,0.5,0.5,1,1,1,1,0.5,1,0.5,1,0.5,1,0.5,1,1,0.05,1,1,1,0.5,1,1,1,1,0.3333333333333333,0.14285714285714285,1,1,1,0.5,1,1,1,1,0.06666666666666667,1,0.5,1,1,0.3333333333333333,0.3333333333333333,1,1,1
function,0.017543859649122806,0.006711409395973154,0.014705882352941176,0.06666666666666667,0.0196078431372549,0.03225806451612903,0.015151515151515152,0.005917159763313609,0.16666666666666666,0,0.008130081300813009,0.1,0.011627906976744186,0.125,0.030303030303030304,0.25,0.05263157894736842,0.037037037037037035,0.5,0.08333333333333333,0.0625,0.03225806451612903,0.0196078431372549,0.05263157894736842,0.019230769230769232,0.06666666666666667,0.16666666666666666,0.045454545454545456,0.01694915254237288,0.3333333333333333,1,0.3333333333333333,0.25,0.3333333333333333,0.09090909090909091,0.125,1,0.2,0.5,0.14285714285714285,0.3333333333333333,1,0.05263157894736842,0.16666666666666666,0.05,0.16666666666666666,1,0.5,0.5,1,0.1,0.2,0.5,0.3333333333333333,0.04,0.5,0.5,1,0.5,0.14285714285714285,0.5,0.3333333333333333,0.5,0.5,0.5,0.08333333333333333,0.14285714285714285,0.5,0.2,0.3333333333333333,0.2,1,1,0.5,0.25,0.5,0.3333333333333333,0.125,1,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.16666666666666666,0.25,0.029411764705882353,0.125,1,0.2,1,0.16666666666666666,0.5,1,0.3333333333333333,0.3333333333333333,1,0.5,0.08333333333333333,0.16666666666666666,0.16666666666666666,1,0.125,0.16666666666666666,0.25,0.3333333333333333,0.2,0.5,1,0.3333333333333333,0.125,1,0.5,0.5,1,0.1,0.25,1,0.5,1,1,0.25,1,0.25,0.2,0.25,1,0.1111111111111111,1,0.2,0.5,0.14285714285714285,0.5,1,1,1,1,1,1,1,0.5,1,0.3333333333333333,0.14285714285714285,0.5,0.16666666666666666,1,1,1,0.16666666666666666,1,1,0.5,1,1,0.5,0.1111111111111111,1,1,0.5,0.5,0.2,1,1,1,0.2,0.125,0.125,0.5,0.25,1,1,0.3333333333333333,0.5,0.2,0.5,1,1,0.5,1,1,0.3333333333333333,1,0.3333333333333333,0.3333333333333333,0.25,1,0.5,1,0.16666666666666666,0.3333333333333333,0.2,0.3333333333333333,1,0.5
